shipment_id,sku,origin,destination,status,planned_date,actual_date,delay_days,carrier
SHP001,SKU001,Shanghai,Warehouse-East,delivered,2026-02-10,2026-02-10,0,FastFreight
SHP002,SKU002,Mumbai,Warehouse-West,delivered,2026-02-12,2026-02-15,3,OceanLine
SHP003,SKU003,Shenzhen,Warehouse-East,in_transit,2026-02-20,,0,FastFreight
SHP004,SKU004,Chicago,Warehouse-Central,delivered,2026-02-18,2026-02-18,0,DomesticExpress
SHP005,SKU005,Hamburg,Warehouse-East,delayed,2026-02-15,,7,EuroShip
SHP006,SKU006,Tokyo,Warehouse-West,in_transit,2026-02-22,,0,AsiaPac
SHP007,SKU007,São Paulo,Warehouse-Central,delayed,2026-02-10,,12,LatAmCargo
SHP008,SKU008,Detroit,Warehouse-East,delivered,2026-02-19,2026-02-20,1,DomesticExpress
SHP009,SKU009,Seoul,Warehouse-West,lost,2026-02-05,,20,OceanLine
SHP010,SKU010,Berlin,Warehouse-Central,pending,2026-03-01,,0,EuroShip
